,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
CXCL14,0,2.4567831,0.998,0.799,0,bulge,CXCL14
KRT15,0,1.775079901,1,0.763,0,bulge,KRT15
SFRP1,0,1.606871734,0.991,0.39,0,bulge,SFRP1
ITM2A,0,1.321252278,0.984,0.586,0,bulge,ITM2A
CAV1,0,1.16889795,0.989,0.685,0,bulge,CAV1
DST,0,1.161547474,0.983,0.639,0,bulge,DST
LGALS1,0,0.843054835,0.999,0.779,0,bulge,LGALS1
FTH1,0,0.610499457,1,0.973,0,bulge,FTH1
S100A6,4.69256238248458e-317,0.782257742,0.998,0.937,9.38512476496915e-314,bulge,S100A6
LMCD1,0.00E+00,1.169570227,0.949,0.452,3.36E-306,bulge,LMCD1
CYP1B1,0.00E+00,1.321457418,0.96,0.53,7.47E-306,bulge,CYP1B1
GSN,6.77E-283,0.626644347,0.993,0.818,1.35E-279,bulge,GSN
DIO2,1.64E-268,1.593757397,0.91,0.297,3.28E-265,bulge,DIO2
FRZB,1.99E-267,1.015464052,0.922,0.428,3.98E-264,bulge,FRZB
NTRK2,2.30E-236,0.988488986,0.916,0.497,4.59E-233,bulge,NTRK2
APP,1.66E-227,0.760400934,0.962,0.719,3.32E-224,bulge,APP
EFEMP1,5.34E-224,1.00191278,0.894,0.422,1.07E-220,bulge,EFEMP1
EMP3,7.52E-223,0.606521277,0.928,0.529,1.50E-219,bulge,EMP3
IGFBP7,2.83E-221,1.097418325,0.933,0.489,5.65E-218,bulge,IGFBP7
GLUL,8.86E-214,0.861780122,0.962,0.738,1.77E-210,bulge,GLUL
RCAN1,1.29E-212,1.354379959,0.896,0.484,2.59E-209,bulge,RCAN1
FOSB,2.94E-205,0.855913323,0.994,0.887,5.88E-202,bulge,FOSB
RARRES2,6.75E-197,0.834915478,0.886,0.469,1.35E-193,bulge,RARRES2
FGL2,1.88E-194,0.988775983,0.823,0.334,3.76E-191,bulge,FGL2
SOSTDC1,3.45E-185,0.926347889,0.932,0.632,6.91E-182,bulge,SOSTDC1
DCN,1.94E-183,0.915130588,0.81,0.248,3.88E-180,bulge,DCN
FTL,9.91E-179,0.31365282,0.998,0.915,1.98E-175,bulge,FTL
DUSP1,6.80E-171,0.610138373,0.996,0.929,1.36E-167,bulge,DUSP1
COL17A1,1.45E-165,0.739683692,0.885,0.52,2.90E-162,bulge,COL17A1
ATF3,1.86E-165,0.795444174,0.98,0.853,3.73E-162,bulge,ATF3
MAP1B,8.39E-158,0.845493796,0.79,0.374,1.68E-154,bulge,MAP1B
GPNMB,4.77E-157,0.492741708,0.967,0.763,9.54E-154,bulge,GPNMB
SOCS3,5.72E-157,0.874389273,0.933,0.691,1.14E-153,bulge,SOCS3
MALAT1,1.96E-155,0.379660777,1,0.986,3.91E-152,bulge,MALAT1
LHX2,1.13E-153,0.798998502,0.784,0.404,2.27E-150,bulge,LHX2
NR3C1,9.83E-136,0.674156055,0.786,0.486,1.97E-132,bulge,NR3C1
MITF,3.96E-135,0.264647861,0.805,0.395,7.91E-132,bulge,MITF
ARL4D,1.45E-134,0.730410528,0.842,0.564,2.89E-131,bulge,ARL4D
PPP1R1C,1.57E-132,0.866464988,0.712,0.312,3.13E-129,bulge,PPP1R1C
CHST2,2.25E-131,0.713741257,0.767,0.371,4.50E-128,bulge,CHST2
TUBA1A,2.42E-131,0.598884346,0.96,0.83,4.84E-128,bulge,TUBA1A
KRT8,6.34E-130,0.664177839,0.762,0.399,1.27E-126,bulge,KRT8
BCAM,2.11E-128,0.622889216,0.799,0.474,4.22E-125,bulge,BCAM
GADD45B,5.85E-127,0.612942481,0.978,0.886,1.17E-123,bulge,GADD45B
NPPC,6.19E-126,1.297364089,0.727,0.369,1.24E-122,bulge,NPPC
CTSF,2.72E-124,0.577131925,0.788,0.499,5.44E-121,bulge,CTSF
NET1,3.40E-121,0.717015165,0.807,0.541,6.81E-118,bulge,NET1
ACAT1,8.80E-115,0.583543819,0.784,0.536,1.76E-111,bulge,ACAT1
TGFB2,3.65E-113,0.669215408,0.653,0.231,7.30E-110,bulge,TGFB2
KLF10,1.11E-112,0.710107169,0.881,0.723,2.22E-109,bulge,KLF10
CCNL1,1.31E-106,0.584252871,0.968,0.872,2.61E-103,bulge,CCNL1
THBS1,5.36E-98,0.624871513,0.643,0.362,1.07E-94,bulge,THBS1
MAFF,7.71E-97,0.700226277,0.781,0.603,1.54E-93,bulge,MAFF
IFITM3,1.63E-96,0.286591097,0.906,0.677,3.25E-93,bulge,IFITM3
GOLIM4,4.92E-94,0.547509009,0.701,0.469,9.85E-91,bulge,GOLIM4
PHLDA1,4.22E-93,0.526947932,0.763,0.501,8.44E-90,bulge,PHLDA1
NPC2,4.74E-91,0.352907085,0.953,0.848,9.48E-88,bulge,NPC2
PNRC1,1.63E-90,0.416000924,0.986,0.893,3.26E-87,bulge,PNRC1
TUBB2A,3.03E-90,0.467179552,0.941,0.804,6.06E-87,bulge,TUBB2A
EFNA5,1.51E-89,0.532761969,0.657,0.346,3.03E-86,bulge,EFNA5
ACP5,3.55E-84,0.505692495,0.722,0.5,7.09E-81,bulge,ACP5
IER3,7.10E-82,0.602560935,0.946,0.825,1.42E-78,bulge,IER3
NFIC,3.14E-79,0.452592992,0.841,0.691,6.29E-76,bulge,NFIC
C2orf40,1.35E-78,0.497468322,0.548,0.308,2.71E-75,bulge,C2orf40
NAP1L1,3.00E-77,0.271996607,0.979,0.89,6.01E-74,bulge,NAP1L1
TENM2,9.97E-77,0.45831653,0.63,0.437,1.99E-73,bulge,TENM2
SLC40A1,2.37E-76,0.519270412,0.656,0.39,4.73E-73,bulge,SLC40A1
PDPN,3.90E-75,0.507144284,0.631,0.379,7.81E-72,bulge,PDPN
BTG2,8.14E-74,0.476086425,0.912,0.777,1.63E-70,bulge,BTG2
ADIRF,9.44E-73,0.292875981,0.743,0.478,1.89E-69,bulge,ADIRF
TCEAL3,9.20E-72,0.419673027,0.625,0.423,1.84E-68,bulge,TCEAL3
MYL9,2.81E-71,0.410885192,0.684,0.442,5.63E-68,bulge,MYL9
PPT1,9.84E-69,0.412794476,0.757,0.602,1.97E-65,bulge,PPT1
STK17A,8.13E-68,0.396740586,0.69,0.51,1.63E-64,bulge,STK17A
PALLD,8.56E-67,0.402940241,0.799,0.629,1.71E-63,bulge,PALLD
ATP1B1,1.54E-66,0.426909257,0.757,0.599,3.07E-63,bulge,ATP1B1
RRBP1,2.78E-66,0.445470869,0.68,0.544,5.56E-63,bulge,RRBP1
ANXA1,4.61E-64,0.361111477,0.93,0.805,9.22E-61,bulge,ANXA1
KRT19,1.71E-63,0.763639338,0.488,0.244,3.43E-60,bulge,KRT19
SGK1,3.10E-63,0.458770777,0.837,0.7,6.20E-60,bulge,SGK1
GCLM,2.84E-62,0.414524413,0.599,0.413,5.67E-59,bulge,GCLM
CYBA,5.88E-61,0.255657414,0.857,0.686,1.18E-57,bulge,CYBA
CREB5,1.33E-60,0.432702459,0.638,0.426,2.66E-57,bulge,CREB5
FAM171B,4.06E-60,0.39578001,0.491,0.27,8.13E-57,bulge,FAM171B
SHISA2,6.48E-60,0.436361649,0.547,0.358,1.30E-56,bulge,SHISA2
CTSK,2.76E-59,0.35594089,0.637,0.436,5.53E-56,bulge,CTSK
LITAF,6.19E-59,0.326080775,0.785,0.653,1.24E-55,bulge,LITAF
SCPEP1,5.27E-58,0.380119695,0.746,0.622,1.05E-54,bulge,SCPEP1
PALMD,4.96E-57,0.379314927,0.83,0.674,9.92E-54,bulge,PALMD
KCTD1,2.46E-56,0.388725758,0.783,0.652,4.92E-53,bulge,KCTD1
SLC25A4,4.39E-56,0.327160014,0.669,0.504,8.77E-53,bulge,SLC25A4
TGDS,4.50E-55,0.380678396,0.516,0.326,8.99E-52,bulge,TGDS
FAM229B,8.74E-55,0.356840225,0.542,0.387,1.75E-51,bulge,FAM229B
IRF1,8.87E-55,0.429306498,0.812,0.716,1.77E-51,bulge,IRF1
UROD,1.02E-53,0.334036277,0.694,0.577,2.04E-50,bulge,UROD
SLC3A2,1.50E-53,0.326849955,0.909,0.84,3.00E-50,bulge,SLC3A2
SDC2,7.84E-52,0.295942568,0.66,0.421,1.57E-48,bulge,SDC2
MYC,4.91E-49,0.587028867,0.809,0.716,9.83E-46,bulge,MYC
CRYAB,5.62E-49,0.261118126,0.836,0.596,1.12E-45,bulge,CRYAB
ABRACL,1.92E-48,0.253373053,0.87,0.739,3.84E-45,bulge,ABRACL
RAB34,2.03E-48,0.332185329,0.712,0.606,4.06E-45,bulge,RAB34
FZD7,2.72E-48,0.391464776,0.536,0.434,5.45E-45,bulge,FZD7
FLRT3,1.19E-47,0.337760095,0.548,0.381,2.39E-44,bulge,FLRT3
DNAJB4,3.04E-47,0.375317879,0.577,0.455,6.08E-44,bulge,DNAJB4
SSFA2,3.38E-47,0.377697987,0.62,0.488,6.76E-44,bulge,SSFA2
CDH13,2.10E-46,0.32035024,0.621,0.477,4.20E-43,bulge,CDH13
SWAP70,4.32E-46,0.331947776,0.58,0.447,8.63E-43,bulge,SWAP70
FCGRT,5.37E-46,0.292290316,0.733,0.617,1.07E-42,bulge,FCGRT
NUDT14,5.40E-45,0.332949719,0.596,0.469,1.08E-41,bulge,NUDT14
SRGAP1,1.51E-44,0.303243668,0.448,0.3,3.03E-41,bulge,SRGAP1
LBH,3.50E-44,0.314217503,0.568,0.453,7.01E-41,bulge,LBH
SYNGR1,5.22E-44,0.294791706,0.709,0.583,1.04E-40,bulge,SYNGR1
SEC62,9.37E-44,0.280358762,0.809,0.703,1.87E-40,bulge,SEC62
UBE2B,2.72E-43,0.286925103,0.72,0.631,5.44E-40,bulge,UBE2B
NDRG2,1.11E-41,0.283949332,0.741,0.612,2.23E-38,bulge,NDRG2
DHRS7,9.68E-41,0.261709579,0.675,0.542,1.94E-37,bulge,DHRS7
FILIP1L,3.70E-40,0.330469523,0.616,0.472,7.39E-37,bulge,FILIP1L
DSG2,2.18E-39,0.301798598,0.48,0.36,4.36E-36,bulge,DSG2
N4BP2L2,2.34E-39,0.278085526,0.756,0.682,4.68E-36,bulge,N4BP2L2
CCND2,6.42E-39,0.269725399,0.57,0.432,1.28E-35,bulge,CCND2
ITGB1,1.90E-38,0.273277583,0.741,0.613,3.79E-35,bulge,ITGB1
DNAJB9,4.14E-36,0.2978843,0.604,0.501,8.27E-33,bulge,DNAJB9
PIK3C2G,1.28E-34,0.255351841,0.453,0.35,2.55E-31,bulge,PIK3C2G
AKAP9,1.70E-33,0.263799965,0.799,0.738,3.40E-30,bulge,AKAP9
SDC4,3.06E-33,0.259009155,0.762,0.668,6.11E-30,bulge,SDC4
SPATS2,4.53E-33,0.287609644,0.558,0.483,9.07E-30,bulge,SPATS2
SLC12A2,2.07E-32,0.28122945,0.484,0.356,4.14E-29,bulge,SLC12A2
JUND,1.28E-30,0.262501805,0.688,0.63,2.55E-27,bulge,JUND
TCF12,1.45E-30,0.250228552,0.54,0.444,2.89E-27,bulge,TCF12
TNFRSF12A,1.06E-28,0.315736854,0.684,0.594,2.11E-25,bulge,TNFRSF12A
IL20RB,4.00E-28,0.265171001,0.611,0.491,7.99E-25,bulge,IL20RB
TSC22D1,4.16E-28,0.271014264,0.79,0.721,8.33E-25,bulge,TSC22D1
CCL2,5.06E-17,0.50938464,0.47,0.444,1.01E-13,bulge,CCL2
HSPA6,9.65E-10,0.280598254,0.377,0.374,1.93E-06,bulge,HSPA6
KRT10,1.59E-297,1.968405326,1,0.887,3.19E-294,IFE spinous 1,KRT10
LY6D,9.79E-288,1.748105064,0.996,0.517,1.96E-284,IFE spinous 1,LY6D
LGALS7B,9.52E-267,0.76436307,0.998,0.773,1.90E-263,IFE spinous 1,LGALS7B
DMKN,8.61E-258,1.308158484,0.998,0.75,1.72E-254,IFE spinous 1,DMKN
B2M,3.13E-257,0.382521709,1,0.961,6.25E-254,IFE spinous 1,B2M
AQP3,1.22E-244,1.103235791,0.996,0.638,2.44E-241,IFE spinous 1,AQP3
KRT1,1.24E-197,2.172399855,0.977,0.603,2.49E-194,IFE spinous 1,KRT1
NEAT1,7.64E-171,0.644036319,0.994,0.741,1.53E-167,IFE spinous 1,NEAT1
RHOV,2.04E-162,0.885731041,0.979,0.517,4.07E-159,IFE spinous 1,RHOV
LGALS7,4.98E-160,0.667307777,0.988,0.708,9.95E-157,IFE spinous 1,LGALS7
ALDH2,7.83E-152,0.595370812,0.99,0.648,1.57E-148,IFE spinous 1,ALDH2
S100A7,3.97E-147,1.148517199,0.977,0.62,7.95E-144,IFE spinous 1,S100A7
HLA-B,3.89E-146,0.552659553,0.996,0.878,7.78E-143,IFE spinous 1,HLA-B
DEFB1,2.36E-145,1.014365258,0.981,0.441,4.72E-142,IFE spinous 1,DEFB1
LYPD3,4.56E-144,0.763198598,0.994,0.607,9.12E-141,IFE spinous 1,LYPD3
S100A8,2.53E-142,1.034835798,0.99,0.78,5.07E-139,IFE spinous 1,S100A8
DBI,1.09E-141,0.644241834,0.992,0.779,2.17E-138,IFE spinous 1,DBI
EMP2,2.49E-127,0.564121216,0.998,0.812,4.99E-124,IFE spinous 1,EMP2
CRABP2,3.51E-126,0.801552545,0.967,0.513,7.01E-123,IFE spinous 1,CRABP2
TMEM45A,1.67E-124,0.40071425,0.985,0.603,3.33E-121,IFE spinous 1,TMEM45A
SLC2A1,3.08E-124,0.617675077,0.971,0.592,6.17E-121,IFE spinous 1,SLC2A1
IMPA2,1.20E-122,0.628033044,0.985,0.655,2.41E-119,IFE spinous 1,IMPA2
KRTDAP,2.10E-120,1.114182569,0.959,0.544,4.21E-117,IFE spinous 1,KRTDAP
PMAIP1,2.53E-119,0.742719688,0.985,0.706,5.07E-116,IFE spinous 1,PMAIP1
KLF4,2.65E-118,0.487336264,0.996,0.848,5.30E-115,IFE spinous 1,KLF4
GLTP,1.40E-115,0.643241333,0.967,0.568,2.80E-112,IFE spinous 1,GLTP
S100A9,1.78E-113,0.762808441,0.975,0.737,3.57E-110,IFE spinous 1,S100A9
FGFBP1,6.80E-111,0.705077286,0.94,0.465,1.36E-107,IFE spinous 1,FGFBP1
CA12,6.46E-110,0.612239012,0.929,0.48,1.29E-106,IFE spinous 1,CA12
MAL2,5.43E-109,0.610256051,0.857,0.352,1.09E-105,IFE spinous 1,MAL2
EHF,1.44E-105,0.680372389,0.95,0.458,2.89E-102,IFE spinous 1,EHF
CSTA,7.28E-96,0.55376489,0.971,0.571,1.46E-92,IFE spinous 1,CSTA
DUSP11,5.31E-95,0.53504099,1,0.933,1.06E-91,IFE spinous 1,DUSP1
SFN,6.65E-91,0.539108502,0.998,0.824,1.33E-87,IFE spinous 1,SFN
BBC3,4.74E-89,0.568264959,0.855,0.454,9.47E-86,IFE spinous 1,BBC3
MFSD2A,2.16E-88,0.540426493,0.828,0.317,4.32E-85,IFE spinous 1,MFSD2A
NFKBIZ,5.35E-82,0.456883436,0.973,0.677,1.07E-78,IFE spinous 1,NFKBIZ
ETS2,1.75E-80,0.498017188,0.869,0.451,3.49E-77,IFE spinous 1,ETS2
LAD1,4.08E-79,0.496557579,0.929,0.519,8.15E-76,IFE spinous 1,LAD1
TACSTD2,3.01E-78,0.338596222,0.996,0.769,6.02E-75,IFE spinous 1,TACSTD2
ZC3H12A,7.10E-76,0.415306622,0.923,0.589,1.42E-72,IFE spinous 1,ZC3H12A
CYB5A,4.49E-75,0.53610005,0.973,0.605,8.98E-72,IFE spinous 1,CYB5A
CHP2,4.84E-75,0.538014272,0.749,0.19,9.68E-72,IFE spinous 1,CHP2
KLF6,7.73E-75,0.386737524,0.988,0.81,1.55E-71,IFE spinous 1,KLF6
DSP,3.03E-74,0.421438224,0.998,0.81,6.06E-71,IFE spinous 1,DSP
RORA,1.19E-73,0.412240858,0.801,0.41,2.38E-70,IFE spinous 1,RORA
SLC25A5,6.03E-72,0.452305013,0.994,0.88,1.21E-68,IFE spinous 1,SLC25A5
TPPP3,1.03E-71,1.006640472,0.842,0.442,2.07E-68,IFE spinous 1,TPPP3
TMEM154,4.28E-70,0.523620559,0.886,0.408,8.57E-67,IFE spinous 1,TMEM154
KCNK7,2.13E-69,0.36711759,0.892,0.453,4.25E-66,IFE spinous 1,KCNK7
NFKBIA,1.48E-68,0.466244899,1,0.946,2.97E-65,IFE spinous 1,NFKBIA
S100A16,2.30E-68,0.270210483,0.998,0.844,4.60E-65,IFE spinous 1,S100A16
CHCHD10,3.02E-68,0.332004042,0.963,0.583,6.04E-65,IFE spinous 1,CHCHD10
TNFRSF19,6.48E-68,0.35689413,0.807,0.342,1.30E-64,IFE spinous 1,TNFRSF19
S100A11,3.62E-67,0.395957149,0.994,0.891,7.23E-64,IFE spinous 1,S100A11
CCND1,6.01E-64,0.51802572,0.975,0.671,1.20E-60,IFE spinous 1,CCND1
MT1X,1.13E-62,0.559963896,0.948,0.7,2.26E-59,IFE spinous 1,MT1X
ATF31,1.49E-62,0.424072698,0.994,0.86,2.99E-59,IFE spinous 1,ATF3
PHLDA2,1.79E-61,0.911182337,0.865,0.504,3.57E-58,IFE spinous 1,PHLDA2
LDLR,2.70E-60,0.307500355,0.842,0.481,5.41E-57,IFE spinous 1,LDLR
DSG1,2.90E-59,0.431115094,0.892,0.388,5.79E-56,IFE spinous 1,DSG1
LDHA,5.47E-58,0.391894375,0.998,0.927,1.09E-54,IFE spinous 1,LDHA
NMU,8.27E-58,0.447158288,0.753,0.303,1.65E-54,IFE spinous 1,NMU
KLF3,5.29E-57,0.356035553,0.82,0.412,1.06E-53,IFE spinous 1,KLF3
ATP5B,5.57E-57,0.272343897,0.994,0.874,1.11E-53,IFE spinous 1,ATP5B
PKP1,4.19E-56,0.295679138,0.948,0.593,8.39E-53,IFE spinous 1,PKP1
VDAC1,7.77E-56,0.256043528,0.969,0.755,1.55E-52,IFE spinous 1,VDAC1
PDZK1IP1,1.08E-55,0.277040868,0.859,0.391,2.15E-52,IFE spinous 1,PDZK1IP1
OVOL1,2.87E-55,0.458565824,0.871,0.545,5.74E-52,IFE spinous 1,OVOL1
EMP1,2.29E-54,0.404337452,0.954,0.648,4.57E-51,IFE spinous 1,EMP1
STX11,4.03E-54,0.270861016,0.685,0.299,8.05E-51,IFE spinous 1,STX11
SH3BGRL3,1.40E-53,0.31382819,0.994,0.864,2.80E-50,IFE spinous 1,SH3BGRL3
ITM2B,2.24E-53,0.3499108,0.998,0.936,4.47E-50,IFE spinous 1,ITM2B
GATM,3.46E-53,0.398216047,0.892,0.503,6.93E-50,IFE spinous 1,GATM
HCAR2,8.22E-53,0.415299698,0.784,0.365,1.64E-49,IFE spinous 1,HCAR2
RPL22L1,2.22E-52,0.372605847,0.977,0.768,4.44E-49,IFE spinous 1,RPL22L1
FABP5,5.08E-52,0.273828479,0.992,0.829,1.02E-48,IFE spinous 1,FABP5
PPP1R14B,2.60E-49,0.259572263,0.907,0.497,5.19E-46,IFE spinous 1,PPP1R14B
HBEGF,9.24E-49,0.346579659,0.846,0.497,1.85E-45,IFE spinous 1,HBEGF
RAB25,1.55E-48,0.274336111,0.942,0.613,3.11E-45,IFE spinous 1,RAB25
CERS3,2.99E-48,0.286974468,0.741,0.326,5.97E-45,IFE spinous 1,CERS3
HSPA5,3.80E-48,0.548470872,0.979,0.841,7.59E-45,IFE spinous 1,HSPA5
NCOA7,6.05E-48,0.455777946,0.859,0.496,1.21E-44,IFE spinous 1,NCOA7
IL1RN,5.04E-47,0.433730336,0.797,0.389,1.01E-43,IFE spinous 1,IL1RN
TMEM40,6.43E-47,0.307223604,0.72,0.318,1.29E-43,IFE spinous 1,TMEM40
ANKRD22,9.87E-47,0.258723041,0.732,0.367,1.97E-43,IFE spinous 1,ANKRD22
NSG1,1.77E-46,0.265096288,0.88,0.509,3.54E-43,IFE spinous 1,NSG1
CLCA2,1.10E-45,0.418654879,0.867,0.417,2.19E-42,IFE spinous 1,CLCA2
TUBA4A,2.47E-45,0.283769247,0.944,0.629,4.93E-42,IFE spinous 1,TUBA4A
NDUFA4L2,1.38E-44,0.380408357,0.873,0.546,2.76E-41,IFE spinous 1,NDUFA4L2
F12,2.91E-44,0.31101183,0.695,0.337,5.83E-41,IFE spinous 1,F12
SERPINB5,7.01E-44,0.371644704,0.975,0.757,1.40E-40,IFE spinous 1,SERPINB5
YBX3,2.84E-43,0.351941477,0.99,0.771,5.69E-40,IFE spinous 1,YBX3
GSTA4,2.80E-41,0.313669842,0.871,0.523,5.59E-38,IFE spinous 1,GSTA4
TYMP,4.79E-40,0.288933473,0.859,0.508,9.58E-37,IFE spinous 1,TYMP
SDR16C5,4.97E-37,0.292889118,0.788,0.424,9.94E-34,IFE spinous 1,SDR16C5
SNHG15,1.22E-35,0.259878689,0.851,0.555,2.45E-32,IFE spinous 1,SNHG15
CKMT1A,4.91E-35,0.252047285,0.724,0.346,9.81E-32,IFE spinous 1,CKMT1A
CLEC2B,1.59E-34,0.597536208,0.639,0.291,3.17E-31,IFE spinous 1,CLEC2B
SLC38A2,7.11E-33,0.260855735,0.942,0.684,1.42E-29,IFE spinous 1,SLC38A2
FAM213A,3.45E-32,0.408564671,0.89,0.602,6.91E-29,IFE spinous 1,FAM213A
BZW2,5.30E-32,0.28316426,0.846,0.552,1.06E-28,IFE spinous 1,BZW2
CENPP,4.21E-30,0.263177038,0.595,0.253,8.43E-27,IFE spinous 1,CENPP
CA2,4.52E-28,0.297339425,0.737,0.407,9.04E-25,IFE spinous 1,CA2
GSTA3,3.97E-25,0.26926202,0.504,0.131,7.95E-22,IFE spinous 1,GSTA3
RND3,5.01E-25,0.25485152,0.849,0.554,1.00E-21,IFE spinous 1,RND3
ATG3,7.23E-21,0.266834204,0.828,0.513,1.45E-17,IFE spinous 1,ATG3
HES1,1.27E-07,0.26295983,0.554,0.346,0.000254716,IFE spinous 1,HES1
KRT5,0,1.383262521,1,0.909,0,ORS SB,KRT5
S100A2,0,1.359307839,1,0.905,0,ORS SB,S100A2
KRT14,0,1.097020927,1,0.952,0,ORS SB,KRT14
APOE,1.61E-260,1.237360757,1,0.883,3.22E-257,ORS SB,APOE
FABP51,6.52E-198,1.110174106,0.998,0.83,1.30E-194,ORS SB,FABP5
S100A14,5.49E-181,0.836159096,1,0.885,1.10E-177,ORS SB,S100A14
KRT16,1.07E-178,2.358360649,0.984,0.592,2.13E-175,ORS SB,KRT16
SDC1,5.43E-166,1.177673047,0.996,0.792,1.09E-162,ORS SB,SDC1
LGALS7B1,4.66E-153,0.702567037,0.991,0.775,9.33E-150,ORS SB,LGALS7B
GJA1,6.10E-152,0.977456096,0.996,0.733,1.22E-148,ORS SB,GJA1
ACTN1,2.62E-150,1.036839829,0.984,0.67,5.24E-147,ORS SB,ACTN1
CALML3,2.04E-149,0.882493385,0.996,0.805,4.07E-146,ORS SB,CALML3
PHGDH,2.64E-148,0.921735659,0.987,0.738,5.28E-145,ORS SB,PHGDH
ANXA2,5.72E-145,0.708955892,1,0.947,1.14E-141,ORS SB,ANXA2
LYPD31,3.92E-141,0.712965815,0.987,0.61,7.85E-138,ORS SB,LYPD3
S100A161,1.34E-139,0.886099733,0.996,0.846,2.67E-136,ORS SB,S100A16
TM4SF1,6.18E-133,1.091401383,0.969,0.608,1.24E-129,ORS SB,TM4SF1
RHOV1,1.04E-132,0.697652466,0.976,0.52,2.07E-129,ORS SB,RHOV
HSPB1,1.50E-130,0.714605009,1,0.973,3.00E-127,ORS SB,HSPB1
CBLN2,6.81E-118,1.152545176,0.88,0.158,1.36E-114,ORS SB,CBLN2
TMSB4X,3.65E-116,0.526004717,1,0.977,7.30E-113,ORS SB,TMSB4X
HSPA2,1.00E-112,0.884430513,0.962,0.634,2.01E-109,ORS SB,HSPA2
APOC1,1.58E-110,1.113973967,0.944,0.426,3.15E-107,ORS SB,APOC1
GJB6,6.93E-109,1.396902343,0.967,0.658,1.39E-105,ORS SB,GJB6
CCND11,1.12E-108,0.93850612,0.978,0.672,2.24E-105,ORS SB,CCND1
DSP1,3.13E-106,0.785512673,0.993,0.812,6.26E-103,ORS SB,DSP
YWHAQ,1.48E-105,0.740477086,0.984,0.875,2.95E-102,ORS SB,YWHAQ
CREG1,4.71E-104,0.704586276,0.96,0.679,9.41E-101,ORS SB,CREG1
KRT6B,5.57E-100,0.958538489,0.929,0.596,1.11E-96,ORS SB,KRT6B
PKP11,1.42E-95,0.575784692,0.953,0.595,2.83E-92,ORS SB,PKP1
CAPNS2,1.46E-95,0.748230816,0.971,0.723,2.92E-92,ORS SB,CAPNS2
LYPD6B,1.47E-90,0.752665196,0.913,0.382,2.95E-87,ORS SB,LYPD6B
MARCKSL1,1.12E-88,0.549301166,0.949,0.669,2.25E-85,ORS SB,MARCKSL1
TMSB10,4.10E-88,0.503597176,1,0.958,8.20E-85,ORS SB,TMSB10
PDZRN3,5.61E-88,0.784688551,0.813,0.209,1.12E-84,ORS SB,PDZRN3
LGALS71,8.33E-86,0.584337908,0.953,0.714,1.67E-82,ORS SB,LGALS7
TRAPPC8,5.52E-84,0.750910524,0.829,0.299,1.10E-80,ORS SB,TRAPPC8
EFNA51,9.88E-84,0.586906447,0.875,0.349,1.98E-80,ORS SB,EFNA5
CALD1,1.61E-83,0.858903271,0.967,0.734,3.22E-80,ORS SB,CALD1
VSNL1,2.01E-80,0.753467926,0.929,0.592,4.02E-77,ORS SB,VSNL1
HOPX,4.25E-80,0.653037275,0.929,0.561,8.50E-77,ORS SB,HOPX
PARM1,6.22E-79,0.67202457,0.815,0.281,1.24E-75,ORS SB,PARM1
KRT6C,5.52E-75,1.119208552,0.797,0.351,1.10E-71,ORS SB,KRT6C
SDC21,1.20E-74,0.676300519,0.889,0.417,2.39E-71,ORS SB,SDC2
CTNNB1,5.27E-73,0.591474909,0.938,0.62,1.05E-69,ORS SB,CTNNB1
KCNK71,6.23E-72,0.534742228,0.882,0.457,1.25E-68,ORS SB,KCNK7
GJB2,2.98E-68,0.886313059,0.918,0.627,5.97E-65,ORS SB,GJB2
CREB51,3.45E-66,0.546331491,0.851,0.422,6.90E-63,ORS SB,CREB5
MAFB,2.25E-63,0.507557587,0.933,0.642,4.49E-60,ORS SB,MAFB
FAM84A,1.58E-62,0.503226549,0.837,0.446,3.15E-59,ORS SB,FAM84A
HES4,1.74E-62,0.496533616,0.793,0.292,3.49E-59,ORS SB,HES4
SOX9,6.22E-62,0.510596658,0.853,0.475,1.24E-58,ORS SB,SOX9
PXMP2,2.41E-61,0.57333167,0.824,0.419,4.83E-58,ORS SB,PXMP2
SOSTDC11,7.54E-60,0.541027945,0.947,0.653,1.51E-56,ORS SB,SOSTDC1
LURAP1L,9.96E-59,0.467244314,0.771,0.368,1.99E-55,ORS SB,LURAP1L
SMCO4,7.82E-57,0.521704589,0.755,0.311,1.56E-53,ORS SB,SMCO4
GSTP1,9.84E-57,0.410865899,0.987,0.938,1.97E-53,ORS SB,GSTP1
SFN1,4.58E-56,0.370724683,0.982,0.826,9.16E-53,ORS SB,SFN
POMC,1.98E-54,0.407784204,0.759,0.356,3.95E-51,ORS SB,POMC
CD82,4.74E-54,0.573580123,0.895,0.601,9.48E-51,ORS SB,CD82
S100A111,2.56E-53,0.365670688,0.998,0.891,5.13E-50,ORS SB,S100A11
FLNB,6.41E-53,0.430141422,0.804,0.436,1.28E-49,ORS SB,FLNB
CYP1B11,2.97E-51,0.308303595,0.927,0.565,5.93E-48,ORS SB,CYP1B1
CLDN1,3.27E-50,0.461138514,0.924,0.592,6.54E-47,ORS SB,CLDN1
NELL2,1.17E-49,0.337578889,0.69,0.258,2.33E-46,ORS SB,NELL2
CHST21,1.98E-49,0.361675149,0.84,0.394,3.95E-46,ORS SB,CHST2
SHISA21,5.85E-49,0.388390302,0.782,0.35,1.17E-45,ORS SB,SHISA2
